"Year","ISO","Drought","Earthquake","MarMor","InfMort","NeonatalMort","Under5Mort","total_deaths","conflict"
2000,"AFG",1,0,1450,90.5,60.9,129.2,5065,1
2001,"AFG",0,1,1390,87.9,59.7,125.2,5394,1
2002,"AFG",0,1,1300,85.3,58.5,121.1,5553,1
2003,"AFG",0,1,1240,82.7,57.2,116.9,1157,1
2004,"AFG",0,1,1180,80,55.9,112.6,944,1
2005,"AFG",0,1,1140,77.3,54.6,108.4,817,1
2006,"AFG",1,1,1120,74.6,53.2,104.1,1711,1
2008,"AFG",1,0,1030,69.2,50.3,95.7,7020,1
2009,"AFG",0,1,993,66.7,48.9,91.7,5660,1
2010,"AFG",0,1,954,64.2,47.4,87.8,6499,1
2011,"AFG",1,0,905,61.8,46,84,7151,1
2012,"AFG",0,1,858,59.5,44.6,80.3,7563,1
2013,"AFG",0,1,810,57.3,43.2,76.9,7824,1
2015,"AFG",0,1,701,53.2,40.5,70.4,12549,1
2018,"AFG",1,0,NA,47.9,37.2,62.3,19776,1
2001,"AGO",1,0,766,118.2,49.2,198.4,1206,1
2004,"AGO",1,0,574,105.7,45.1,175.1,84,1
2012,"AGO",1,0,281,67.4,33.8,105.1,1,0
2017,"AGO",1,0,241,53.5,29.2,80.6,26,1
2009,"ALB",0,1,20,12.9,7.4,14.5,0,0
2019,"ALB",0,1,NA,8.6,7.5,9.7,0,0
2002,"ARG",0,1,65,16.4,10.8,18.3,0,0
2003,"ARG",1,0,65,15.8,10.3,17.7,0,0
2009,"ARG",1,0,56,13.3,7.8,14.9,0,0
2018,"ARG",1,0,NA,8.6,6,9.7,0,0
2019,"ARG",1,0,NA,8.1,5.3,9.1,0,0
2000,"ARM",1,0,43,27,16.1,30.6,0,0
2009,"ASM",0,1,NA,NA,NA,NA,NA,NA
2002,"AUS",1,0,6,5,3.4,6,0,0
2006,"AUS",1,0,5,4.7,3.1,5.6,0,0
2018,"AUS",1,0,NA,3.2,2.3,3.7,0,0
2000,"AZE",1,1,47,60.9,34.3,74.4,18,0
2012,"AZE",0,1,29,28.5,17.3,32.5,21,0
2003,"BDI",1,0,890,85.7,34.8,138.1,1576,1
2004,"BDI",0,1,844,82.3,34.1,131.9,1245,1
2005,"BDI",1,0,814,78.4,33.2,124.9,679,1
2008,"BDI",1,0,733,66.5,30.2,103.6,79,1
2009,"BDI",1,0,698,62.9,29.2,97.1,220,1
2010,"BDI",1,0,665,59.4,28.2,91,0,0
2001,"BFA",1,0,501,89.3,39.9,174.9,0,0
2011,"BFA",1,0,377,66.3,30.5,116.9,0,0
2014,"BFA",1,0,353,61.2,28.8,104.5,0,0
2000,"BGD",0,1,434,63.1,44,86,14,0
2003,"BGD",0,1,395,54.3,38.8,72.3,6,0
2004,"BGD",0,1,372,51.8,37.3,68.3,8,0
2009,"BGD",1,0,269,40.7,30.6,51.8,13,0
2015,"BGD",0,1,200,31,23.6,38.1,2,0
2016,"BGD",0,1,186,29.6,22.4,36.1,10,0
2000,"BGR",1,0,19,14.4,7.9,17.5,0,0
2006,"BGR",0,1,14,10.3,5.6,12.4,0,0
2012,"BGR",0,1,11,8.2,4.8,9.8,0,0
2000,"BIH",1,0,17,8.7,6.9,9.9,0,0
2003,"BIH",1,0,14,8.1,5.9,9.2,0,0
2000,"BOL",1,0,331,55.9,29.6,75.6,0,0
2004,"BOL",1,0,283,45.4,26.8,59.6,0,0
2008,"BOL",1,0,234,36.7,23.7,46.9,0,0
2010,"BOL",1,0,212,33,21.8,41.6,0,0
2013,"BOL",1,0,184,28,18.7,34.9,0,0
2014,"BOL",1,0,175,26.6,17.6,33,0,0
2016,"BOL",1,0,161,24.3,15.9,29.9,0,0
2001,"BRA",1,0,68,28.5,17.6,32.5,46,1
2002,"BRA",1,0,69,26.8,16.7,30.4,74,1
2004,"BRA",1,0,71,23.5,15,26.5,43,1
2005,"BRA",1,0,71,22,14.2,24.8,86,1
2007,"BRA",1,1,71,19.5,12.8,21.8,22,0
2010,"BRA",1,0,65,16.7,11.1,18.6,40,1
2012,"BRA",1,0,60,15.4,10.3,17.2,34,1
2014,"BRA",1,0,62,14.6,9.7,16.3,4,0
2007,"BRB",0,1,40,14.2,10.1,15.4,0,0
2010,"BRB",1,0,36,13.8,10,15,0,0
2009,"BTN",0,1,255,36,23.4,44.9,0,0
2011,"BTN",0,1,239,32.4,21.6,40,0,0
2015,"BWA",1,0,156,39.6,23.3,49.7,0,0
2019,"BWA",1,0,NA,36.9,22.3,45.9,0,0
2005,"CHL",0,1,25,7.7,5.4,9.1,0,0
2007,"CHL",0,1,23,7.6,5.4,8.9,0,0
2010,"CHL",0,1,20,7.4,5.3,8.7,0,0
2012,"CHL",0,1,17,7.2,5.3,8.4,0,0
2014,"CHL",0,1,15,6.9,5.2,8.1,0,0
2015,"CHL",0,1,14,6.7,5.1,7.9,0,0
2019,"CHL",0,1,NA,6,4.5,7,0,0
2000,"CHN",1,1,59,29.9,21.4,36.7,0,0
2001,"CHN",1,1,55,27.8,19.9,34.1,0,0
2002,"CHN",1,1,51,25.6,18.4,31.5,0,0
2003,"CHN",1,1,48,23.4,16.9,28.8,0,0
2004,"CHN",0,1,46,21.4,15.3,26.3,0,0
2005,"CHN",1,1,44,19.4,13.9,24,0,0
2006,"CHN",1,1,42,17.7,12.5,21.9,12,0
2007,"CHN",0,1,40,16.2,11.3,20.1,0,0
2008,"CHN",1,1,40,14.8,10.2,18.5,0,0
2009,"CHN",1,1,37,13.6,9.2,17,87,1
2010,"CHN",1,1,36,12.5,8.4,15.8,189,1
2011,"CHN",0,1,34,11.5,7.6,14.6,0,0
2012,"CHN",0,1,33,10.6,7,13.5,0,0
2013,"CHN",1,1,32,9.8,6.4,12.5,0,0
2014,"CHN",1,1,31,9,5.8,11.6,0,0
2015,"CHN",1,1,30,8.3,5.3,10.7,0,0
2016,"CHN",1,1,29,7.6,4.9,9.9,5,0
2017,"CHN",1,1,29,7,4.5,9.2,0,0
2018,"CHN",0,1,NA,6.4,4.1,8.5,6,0
2019,"CHN",0,1,NA,5.9,3.7,7.9,0,0
2001,"CMR",1,0,844,85.8,34.8,140.9,2,0
2005,"CMR",1,0,692,78.1,33.2,127.5,0,0
2012,"CMR",1,0,580,64.2,30.9,101.3,0,0
2005,"COD",0,1,627,95.2,36,136.1,795,1
2008,"COD",0,1,565,88.1,33.8,122.3,879,1
2015,"COD",0,1,490,73,29.5,95.9,1622,1
2000,"COL",0,1,94,21.2,13.5,25.1,2093,1
2004,"COL",0,1,85,18.9,12,22.1,1183,1
2007,"COL",0,1,83,17.2,11,20.2,588,1
2008,"COL",0,1,84,16.7,10.6,19.5,362,1
2013,"COL",0,1,85,14.3,9,16.6,227,1
2015,"COL",1,1,85,13.4,8.4,15.5,156,1
2014,"COM",0,1,293,55.8,33.6,74.7,0,0
2002,"CPV",1,0,101,26.3,16,31.6,0,0
2017,"CPV",1,0,58,14.5,10.2,16.8,0,0
2003,"CRI",0,1,37,10,7.2,11.8,0,0
2004,"CRI",0,1,36,9.9,7.1,11.5,0,0
2009,"CRI",0,1,29,9.3,6.7,10.7,0,0
2012,"CRI",0,1,29,8.6,6.5,9.9,0,0
2014,"CRI",1,0,29,7.9,6.3,9.3,0,0
2018,"CRI",1,0,NA,7.4,5.9,8.4,0,0
2000,"CUB",1,0,46,7,4.3,8.8,0,0
2004,"CUB",1,0,40,6.1,3.6,7.6,0,0
2015,"CUB",1,0,38,4.5,2.4,5.7,0,0
2000,"CYP",1,0,14,5.6,3.7,6.5,0,0
2004,"DEU",0,1,6,4,2.6,4.9,0,0
2005,"DJI",1,0,393,71.2,40.9,88.7,0,0
2007,"DJI",1,0,335,67.6,39.7,83.6,0,0
2008,"DJI",1,0,320,65.9,39,81.2,0,0
2010,"DJI",1,0,283,62.5,37.6,76.6,0,0
2004,"DMA",0,1,NA,16.1,14.9,19,0,0
2003,"DOM",0,1,76,30.6,23.1,37.4,0,0
2003,"DZA",0,1,145,31.3,20.8,36.5,1058,1
2004,"DZA",0,1,134,30.1,20.4,35.1,714,1
2006,"DZA",0,1,122,27.6,19.8,32.1,232,1
2014,"DZA",0,1,114,21.9,15.7,25.5,222,1
2009,"ECU",1,0,80,17,9.3,19.9,25,1
2013,"ECU",1,0,67,14.3,7.8,16.6,0,0
2014,"ECU",0,1,65,13.7,7.5,15.9,0,0
2016,"ECU",0,1,61,12.8,7.1,14.8,0,0
2019,"ECU",0,1,NA,11.6,6.8,13.4,0,0
2002,"EGY",0,1,60,33.5,21,41.5,0,0
2008,"ERI",1,0,605,41.5,23.2,59.4,0,0
2011,"ESP",0,1,4,3,2.1,3.7,0,0
2003,"ETH",1,0,972,76.7,45.8,121.8,809,1
2005,"ETH",1,0,865,69.5,43.7,108.9,475,1
2008,"ETH",1,0,681,59.8,40.2,91.6,500,1
2009,"ETH",1,0,638,57,39.1,86.7,311,1
2010,"ETH",1,0,597,54.3,37.9,82,590,1
2011,"ETH",1,0,558,51.9,36.7,77.7,152,1
2015,"ETH",1,0,446,43.2,31.9,62.4,39,1
2015,"FJI",1,0,35,20.6,9.8,24.4,0,0
2019,"FRA",0,1,NA,3.4,2.6,4.3,13,0
2016,"FSM",1,0,90,23.5,14.7,28,0,0
2007,"GBR",0,1,11,4.9,3.3,5.8,0,0
2000,"GEO",1,0,31,31.9,22.8,36.6,0,0
2002,"GEO",0,1,42,27.7,20.3,31.5,0,0
2009,"GEO",0,1,43,13.9,11,15.6,621,1
2004,"GLP",0,1,NA,NA,NA,NA,NA,NA
2002,"GMB",1,0,876,58.1,39.1,104.2,0,0
2012,"GMB",1,0,650,43.2,31.7,67.7,0,0
2015,"GMB",1,0,625,39.7,29.4,59.8,0,0
2002,"GNB",1,0,1150,99.1,53.3,162.8,0,0
2006,"GNB",1,0,912,85.9,49.8,138.3,0,0
2000,"GRC",0,1,3,5.6,3.9,6.4,0,0
2001,"GRC",0,1,3,5.2,3.6,6,0,0
2002,"GRC",0,1,3,4.9,3.3,5.6,0,0
2003,"GRC",0,1,3,4.6,3,5.2,0,0
2008,"GRC",0,1,3,3.5,2.1,4,0,0
2014,"GRC",0,1,3,3.7,2.6,4.3,0,0
2017,"GRC",0,1,3,3.8,2.6,4.3,0,0
2010,"GRD",1,0,29,13,8.9,15.1,0,0
2001,"GTM",1,1,147,39.5,20.7,50.1,0,0
2009,"GTM",1,0,131,29.7,16.8,36.3,41,1
2011,"GTM",0,1,122,27.6,15.6,33.4,0,0
2012,"GTM",1,1,118,26.5,15,32,27,1
2013,"GTM",0,1,113,25.6,14.4,30.7,0,0
2014,"GTM",1,1,107,24.6,13.9,29.5,0,0
2017,"GTM",0,1,95,22.2,12.4,26.4,0,0
2018,"GTM",1,0,NA,21.4,12,25.4,0,0
2010,"GUY",1,0,179,30.6,22.8,37.4,0,0
2000,"HND",1,0,85,30.3,17.7,37,9,0
2001,"HND",1,0,83,29,17.1,35.3,6,0
2002,"HND",1,0,80,27.8,16.6,33.7,0,0
2004,"HND",1,0,77,25.5,15.6,30.6,47,1
2007,"HND",0,1,77,22.4,14.2,26.7,0,0
2009,"HND",1,1,75,20.6,13.2,24.4,18,0
2012,"HND",1,0,70,18.4,11.7,21.5,18,0
2014,"HND",1,0,68,17.1,10.9,20,0,0
2018,"HND",1,0,NA,14.9,9.4,17.4,0,0
2003,"HRV",1,0,10,6.3,4.7,7.3,0,0
2003,"HTI",1,0,446,68.4,29.3,94.4,0,0
2010,"HTI",0,1,506,102.6,30.6,203.6,0,0
2014,"HTI",1,0,492,54.1,27.5,71.9,0,0
2016,"HTI",1,0,489,51.5,26.6,67.9,0,0
2018,"HTI",0,1,NA,49,25.7,64.1,8,0
2003,"HUN",1,0,15,7.1,4.8,8.4,0,0
2013,"HUN",0,1,12,4.7,3,5.6,0,0
2000,"IDN",0,1,272,41,22.8,52.2,1805,1
2001,"IDN",0,1,269,39.4,22.1,49.8,917,1
2002,"IDN",0,1,265,37.8,21.4,47.6,834,1
2003,"IDN",1,1,261,36.4,20.9,45.5,762,1
2004,"IDN",0,1,264,37.1,20.5,49.6,1068,1
2005,"IDN",0,1,252,33.6,19.9,41.7,1082,1
2006,"IDN",0,1,249,32.4,19.5,39.9,242,1
2007,"IDN",0,1,243,31.2,19.1,38.3,13,0
2008,"IDN",0,1,239,30,18.7,36.7,2,0
2009,"IDN",0,1,234,29,18.1,35.2,6,0
2010,"IDN",0,1,228,27.9,17.5,33.8,0,0
2011,"IDN",0,1,221,26.9,16.8,32.5,0,0
2012,"IDN",0,1,214,25.9,16.1,31.2,9,0
2013,"IDN",0,1,207,25,15.4,30,1,0
2015,"IDN",1,1,192,23.2,14.2,27.7,12,0
2016,"IDN",0,1,184,22.4,13.6,26.6,4,0
2017,"IDN",0,1,177,21.6,13.1,25.6,0,0
2018,"IDN",0,1,NA,20.8,12.6,24.6,2,0
2019,"IDN",0,1,NA,20.2,12.2,23.8,32,1
2000,"IND",1,0,370,66.7,44.7,91.7,2563,1
2001,"IND",0,1,354,64.4,43.3,88.1,4093,1
2002,"IND",1,1,336,62.1,41.9,84.5,1730,1
2004,"IND",0,1,303,57.8,39.1,77.8,2426,1
2005,"IND",0,1,286,55.7,37.9,74.4,1642,1
2009,"IND",1,0,225,47.2,33.1,61.4,1856,1
2011,"IND",0,1,197,43,30.6,55,1633,1
2013,"IND",0,1,175,38.8,28.2,49,801,1
2015,"IND",1,1,158,34.9,25.9,43.5,734,1
2016,"IND",0,1,150,33.1,24.8,41,622,1
2018,"IND",1,0,NA,29.8,22.7,36.3,847,1
2000,"IRN",0,1,48,29.7,19.5,36.2,19,0
2001,"IRN",0,1,44,28.2,18.8,34.2,41,1
2002,"IRN",0,1,41,26.7,18.1,32.2,112,1
2003,"IRN",0,1,39,25.1,17.4,30.2,0,0
2004,"IRN",0,1,36,23.6,16.7,28.2,2,0
2005,"IRN",0,1,34,22.2,16,26.4,0,0
2006,"IRN",0,1,32,20.9,15.4,24.7,53,1
2008,"IRN",0,1,28,18.5,14,21.7,86,1
2009,"IRN",0,1,25,17.4,13.3,20.4,117,1
2010,"IRN",0,1,22,16.5,12.6,19.3,167,1
2012,"IRN",0,1,18,15,11.3,17.5,220,1
2013,"IRN",0,1,17,14.4,10.8,16.8,17,0
2014,"IRN",0,1,17,13.8,10.4,16.1,11,0
2017,"IRN",0,1,16,12.4,9.2,14.4,69,1
2018,"IRN",0,1,NA,11.9,8.9,13.9,58,1
2019,"IRN",0,1,NA,11.5,8.6,13.4,92,1
2017,"IRQ",0,1,79,23.4,15.9,27.9,12025,1
2000,"ISL",0,1,6,3.2,2.1,4.1,0,0
2002,"ITA",1,1,3,4.3,3.1,5,0,0
2003,"ITA",0,1,3,4.1,2.9,4.8,0,0
2009,"ITA",0,1,2,3.4,2.5,4.1,0,0
2012,"ITA",1,1,2,3.2,2.3,3.8,0,0
2016,"ITA",0,1,2,2.9,2.1,3.4,0,0
2017,"ITA",1,1,2,2.8,2,3.3,0,0
2000,"JAM",1,0,77,18.9,17,22.2,0,0
2014,"JAM",1,0,78,13.8,11.4,16,0,0
2000,"JOR",1,0,70,22.5,16,26.8,0,0
2000,"JPN",0,1,9,3.3,1.8,4.5,0,0
2001,"JPN",0,1,8,3.1,1.7,4.3,0,0
2003,"JPN",0,1,7,2.9,1.6,4,0,0
2004,"JPN",0,1,7,2.8,1.5,3.9,0,0
2005,"JPN",0,1,7,2.8,1.4,3.7,0,0
2007,"JPN",0,1,6,2.6,1.3,3.5,0,0
2008,"JPN",0,1,6,2.5,1.2,3.4,0,0
2009,"JPN",0,1,6,2.4,1.2,3.3,0,0
2011,"JPN",0,1,6,2.3,1,3.2,0,0
2013,"JPN",0,1,5,2.1,1,2.9,0,0
2014,"JPN",0,1,5,2.1,0.9,2.8,0,0
2016,"JPN",0,1,5,2,0.9,2.7,0,0
2018,"JPN",0,1,NA,1.9,0.9,2.6,0,0
2019,"JPN",0,1,NA,1.8,0.9,2.5,0,0
2003,"KAZ",0,1,49,30.8,21.8,35.2,0,0
2004,"KEN",1,1,653,50.8,27.1,81,7,0
2005,"KEN",1,0,618,48,26.6,76.3,20,0
2008,"KEN",1,0,513,41.4,25.1,63.5,200,1
2010,"KEN",1,0,432,39.3,24.2,57.4,170,1
2011,"KEN",1,0,398,38.5,23.9,55.5,87,1
2014,"KEN",1,0,358,36.4,22.9,50.6,267,1
2016,"KEN",1,0,346,34.4,22.2,47.2,389,1
2019,"KEN",1,0,NA,32,21,43,164,1
2006,"KGZ",0,1,85,32.7,19.5,37.5,0,0
2008,"KGZ",0,1,81,29.6,18.5,33.7,0,0
2009,"KGZ",1,0,80,27.8,17.7,31.6,0,0
2011,"KGZ",0,1,79,24.5,16.3,27.7,44,1
2015,"KGZ",0,1,66,19.9,14.6,22.3,0,0
2017,"KGZ",0,1,60,18,13.4,20.1,0,0
2001,"KHM",1,0,456,73.4,33.4,96.6,4,0
2002,"KHM",1,0,430,67.3,31.5,86.7,0,0
2005,"KHM",1,0,351,52.8,26.8,64.7,0,0
2016,"KHM",1,0,168,26,15.6,30.3,0,0
2001,"KOR",1,0,15,6.1,3.2,7.1,0,0
2016,"KOR",0,1,11,2.9,1.6,3.4,0,0
2017,"KOR",0,1,11,2.8,1.6,3.3,0,0
2019,"LAO",1,0,NA,36.5,22.2,45.7,0,0
2007,"LCA",0,1,87,16.4,12.4,18.8,0,0
2010,"LCA",1,0,109,17.3,12.7,19.7,0,0
2001,"LKA",1,0,53,13.7,9.1,16,2569,1
2004,"LKA",0,1,48,17.7,7.6,28.9,33,1
2012,"LKA",1,0,37,8.9,6.1,10.4,2,0
2014,"LKA",1,0,36,7.9,5.5,9.3,5,0
2016,"LKA",1,0,36,7.1,4.8,8.2,0,0
2019,"LKA",1,0,NA,6.2,4.2,7.2,0,0
2002,"LSO",1,0,653,71.2,40.1,110.7,0,0
2007,"LSO",1,0,652,73.8,41.1,114.3,0,0
2011,"LSO",1,0,585,69,42.4,93.9,0,0
2016,"LSO",1,0,559,72.9,45.1,91.5,0,0
2019,"LSO",1,0,NA,71.4,44.8,90.9,0,0
2006,"LTU",1,0,14,6.9,4.1,8.6,0,0
2018,"LTU",1,0,NA,3.3,2.2,4,0,0
2004,"MAR",0,1,142,37.2,25.5,43.7,34,1
2000,"MDA",1,0,44,26.2,20.4,31.5,0,0
2007,"MDA",1,0,31,15.7,13,18.3,0,0
2012,"MDA",1,0,22,14.2,12.2,16.5,0,0
2000,"MDG",1,0,559,67.5,30.7,105.4,0,0
2002,"MDG",1,0,547,62.5,29.2,96.5,0,0
2005,"MDG",1,0,526,55.9,27.3,84.8,0,0
2008,"MDG",1,0,491,50.3,25.5,74.8,0,0
2014,"MDG",1,0,378,42.3,22.7,60.8,0,0
2016,"MDG",1,0,348,40.3,21.9,57.2,0,0
2017,"MDG",1,0,335,39.3,21.5,55.5,0,0
2004,"MDV",0,1,89,21.4,13.6,26.9,0,0
2000,"MEX",0,1,55,23.8,14.4,28.4,0,0
2002,"MEX",1,0,56,21.9,12.4,26,0,0
2003,"MEX",0,1,55,21,11.4,24.9,26,1
2010,"MEX",0,1,46,16.4,9,19.2,3598,1
2011,"MEX",1,1,43,15.9,8.9,18.5,3582,1
2012,"MEX",0,1,41,15.4,8.7,17.9,2893,1
2014,"MEX",0,1,38,14.4,8.3,16.8,776,1
2017,"MEX",0,1,33,13,8.6,15.2,1320,1
2018,"MEX",0,1,NA,12.6,8.7,14.6,1465,1
2013,"MHL",1,0,NA,30.4,17.2,37.2,0,0
2015,"MHL",1,0,NA,29.1,16.5,35.4,0,0
2016,"MKD",0,1,8,9.6,7.8,10.9,0,0
2001,"MLI",1,0,797,98.8,49.3,181.1,0,0
2005,"MLI",1,0,691,88.1,43.6,156.4,20,0
2006,"MLI",1,0,675,85.7,42.6,150.8,12,0
2010,"MLI",1,0,660,76.7,38.9,130.3,127,1
2011,"MLI",1,0,663,74.6,38,125.6,28,1
2004,"MMR",0,1,307,59.1,33.6,79.7,272,1
2011,"MMR",0,1,259,47,27.8,61,185,1
2012,"MMR",0,1,254,45.4,27.1,58.6,810,1
2016,"MMR",0,1,245,39.7,24.6,50.3,705,1
2000,"MNG",1,0,155,48.6,23.7,63.5,0,0
2001,"MOZ",1,0,745,106.1,44.5,161,0,0
2003,"MOZ",1,0,657,95.3,40.9,145,0,0
2005,"MOZ",1,0,577,86.9,38.2,132,1,0
2006,"MOZ",0,1,539,83.2,37.1,126.2,13,0
2007,"MOZ",1,0,505,78,36.1,118.8,0,0
2008,"MOZ",1,0,471,75.6,35.3,112.9,0,0
2010,"MOZ",1,0,412,72.5,34,104.9,0,0
2016,"MOZ",1,0,301,59.4,30.7,80.4,3,0
2001,"MRT",1,0,835,68.9,42.1,112.1,0,0
2010,"MRT",1,0,824,61.2,37.9,95.6,1,0
2011,"MRT",1,0,822,60,37.2,93,1,0
2017,"MRT",1,0,766,52.6,33.1,77.7,0,0
2018,"MRT",1,0,NA,51.5,32.4,75.5,0,0
2007,"MTQ",0,1,NA,NA,NA,NA,NA,NA
2002,"MWI",1,0,714,84.6,34.8,145.5,0,0
2005,"MWI",1,0,610,65,29.8,110.5,0,0
2007,"MWI",1,0,526,59.6,28.9,99.9,0,0
2009,"MWI",0,1,466,54.5,28.5,89.4,0,0
2012,"MWI",1,0,413,45.6,26,70.7,0,0
2015,"MWI",1,0,370,36.7,22.7,53.3,0,0
2004,"MYS",0,1,32,7.1,4,8.3,0,0
2014,"MYS",1,0,30,6.8,4.1,8,70,1
2015,"MYS",0,1,30,6.9,4.2,8.1,0,0
2001,"NAM",1,0,352,44.2,22.6,75.3,66,1
2002,"NAM",1,0,356,43.6,21.8,74.7,0,0
2013,"NAM",1,0,231,35.8,21.7,49.1,0,0
2015,"NAM",1,0,217,33.3,21.7,47.6,0,0
2018,"NAM",1,0,NA,31.7,20.8,43.9,0,0
2001,"NER",1,0,803,93.7,41.6,215.2,0,0
2005,"NER",1,0,755,78.5,36.5,170.2,4,0
2009,"NER",1,0,688,64.8,31.8,130.3,56,1
2011,"NER",1,0,639,59.3,29.7,114.5,0,0
2015,"NER",1,0,555,51.8,26.8,93.8,5,0
2017,"NER",1,0,509,49.1,25.7,86.6,299,1
2000,"NIC",1,1,162,31.4,16.8,38.5,0,0
2001,"NIC",1,0,157,29.9,16.4,36.5,0,0
2014,"NIC",1,1,103,17.3,12.4,20.2,0,0
2018,"NIC",1,0,NA,14.8,10.3,17.3,0,0
2006,"NPL",1,0,386,43.8,31,56.3,1399,1
2009,"NPL",1,0,323,38.3,27.6,48.3,0,0
2011,"NPL",0,1,285,35,25.4,43.6,0,0
2015,"NPL",0,1,236,29.2,21.3,35.5,0,0
2010,"NZL",0,1,11,5.1,3.2,6.1,0,0
2011,"NZL",0,1,10,5,3.3,6,0,0
2013,"NZL",1,1,9,4.8,3.3,5.8,0,0
2016,"NZL",0,1,10,4.4,3.1,5.4,0,0
2001,"PAK",0,1,275,82.6,55.8,105,59,1
2002,"PAK",0,1,264,80.9,54.9,102.4,42,1
2004,"PAK",0,1,243,77.9,53.3,98.1,242,1
2005,"PAK",0,1,237,76.6,52.6,96.3,430,1
2008,"PAK",0,1,205,72.8,50.9,90.9,1366,1
2011,"PAK",0,1,180,68.6,49,85,7226,1
2013,"PAK",0,1,166,65.4,47.1,80.6,3541,1
2015,"PAK",0,1,154,62.1,45.2,76,3620,1
2016,"PAK",0,1,143,60.5,44.3,73.8,2450,1
2019,"PAK",1,1,NA,55.7,41.4,67.3,483,1
2003,"PAN",0,1,93,20.5,13.6,24.1,0,0
2013,"PAN",1,0,66,15.5,10.1,18.1,0,0
2015,"PAN",1,0,58,14.6,9.5,17,0,0
2018,"PAN",1,0,NA,13.2,8.6,15.4,0,0
2001,"PER",0,1,138,27.2,15.2,35.3,5,0
2002,"PER",1,0,132,25.2,14.3,32.7,21,0
2004,"PER",1,0,122,22,12.8,28.3,13,0
2005,"PER",0,1,118,20.6,12.2,26.5,3,0
2006,"PER",1,0,114,19.3,11.7,24.9,0,0
2007,"PER",0,1,112,18.2,11.1,23.4,11,0
2011,"PER",0,1,102,14.6,9.4,18.8,29,1
2012,"PER",0,1,100,13.9,9,17.9,15,0
2013,"PER",0,1,98,13.3,8.7,17.1,0,0
2014,"PER",0,1,96,12.7,8.4,16.4,3,0
2016,"PER",0,1,91,11.7,7.8,15,9,0
2018,"PER",0,1,NA,10.7,7.2,13.8,7,0
2019,"PER",0,1,NA,10.3,7,13.3,0,0
2002,"PHL",1,1,160,27.8,16.3,36.2,792,1
2007,"PHL",1,0,149,25.7,15.4,33,434,1
2009,"PHL",0,1,149,25,15,32.1,566,1
2011,"PHL",0,1,141,24.5,14.7,31.3,372,1
2012,"PHL",0,1,139,24.2,14.6,30.9,414,1
2013,"PHL",0,1,136,23.9,14.4,30.5,311,1
2015,"PHL",1,0,127,23.4,14.1,29.6,484,1
2016,"PHL",0,1,124,23,13.9,29.1,628,1
2017,"PHL",0,1,121,22.6,13.6,28.5,616,1
2019,"PHL",1,1,NA,21.5,12.9,27.1,436,1
2015,"PLW",1,0,NA,18.3,10.5,19.8,NA,NA
2000,"PNG",0,1,249,53.6,30.2,71.1,60,1
2001,"PNG",0,1,242,52.8,29.6,69.9,13,0
2002,"PNG",0,1,234,52.1,29.1,68.8,65,1
2005,"PNG",0,1,200,49.6,27.9,64.9,0,0
2015,"PNG",1,0,151,40.2,23.8,51,0,0
2018,"PNG",0,1,NA,37.2,22.5,46.8,0,0
2019,"PNG",0,1,NA,36.2,22,45.3,0,0
2018,"POL",1,0,NA,3.9,2.8,4.5,0,0
2012,"PRK",1,0,96,19.8,13.9,25.7,0,0
2015,"PRK",1,0,91,16,11.4,21.1,0,0
2017,"PRK",1,0,89,14.4,10.3,19,0,0
2019,"PRK",1,0,NA,13.1,9.3,17.3,0,0
2004,"PRT",1,0,10,3.9,2.6,5,0,0
2005,"PRY",1,0,174,25,16.1,30,0,0
2008,"PRY",1,0,158,23.2,14.8,27.7,0,0
2009,"PRY",1,0,153,22.6,14.4,26.9,0,0
2012,"PRY",1,0,141,20.8,13.1,24.6,0,0
2013,"PRY",1,0,138,20.2,12.7,23.8,0,0
2016,"PRY",1,0,130,18.4,11.6,21.6,0,0
2000,"ROU",1,0,54,18.1,10.5,21.6,0,0
2000,"RUS",0,1,56,15.5,9,19.3,6197,1
2003,"RUS",1,1,49,12.9,7.3,16.1,1509,1
2004,"RUS",0,1,45,12,6.8,14.9,539,1
2006,"RUS",0,1,36,10.3,6,12.8,688,1
2007,"RUS",0,1,32,9.6,5.4,11.9,260,1
2008,"RUS",0,1,30,9,4.9,11.2,182,1
2010,"RUS",1,0,25,8.3,4.6,10.4,697,1
2012,"RUS",1,0,22,7.9,4.7,9.8,396,1
2002,"RWA",0,1,961,90.3,37.3,149.6,2044,1
2003,"RWA",1,0,870,81.4,34.6,133.5,0,0
2008,"RWA",0,1,427,50.2,25.1,76.3,0,0
2002,"SCG",0,1,NA,NA,NA,NA,NA,NA
2011,"SDN",1,0,390,49.6,31.4,73.7,1790,1
2015,"SDN",1,0,320,45.2,29.5,65.9,1912,1
2002,"SEN",1,0,537,62.3,36,115.1,47,1
2011,"SEN",1,0,423,40.7,26,62.1,19,0
2014,"SEN",1,0,364,36.2,24.2,52.3,8,0
2018,"SEN",1,0,NA,30.8,21.8,41.7,0,0
2007,"SLB",0,1,172,23.8,11.7,28.4,0,0
2010,"SLB",0,1,141,22.2,10.8,26.4,0,0
2013,"SLB",0,1,122,20.5,9.8,24.2,0,0
2015,"SLB",1,0,112,19.3,9.2,22.7,0,0
2016,"SLB",0,1,108,18.8,8.9,22,0,0
2001,"SLV",1,1,75,26,14.1,31.3,0,0
2005,"SLV",0,1,62,21.2,11.6,25.1,0,0
